ID,Type,Lat,Lng,Time,Place
ID_8rj7iq6wp,Trash,41.12183,24.862786,"2/19/2026, 4:01:59 PM",KALLITH
ID_13gjmw9ge,Trash,41.12183,24.862786,"2/19/2026, 4:01:59 PM",KALLITH
ID_fzpfkyh5h,Trash,41.1221516,24.8621265,"2/19/2026, 4:02:11 PM",KALLITH
ID_i030iyyja,Trash,41.1221516,24.8621265,"2/19/2026, 4:02:13 PM",KALLITH
ID_46x5skiuj,Recycle,41.1221516,24.8621265,"2/19/2026, 4:02:14 PM",KALLITH
ID_m4ykjesij,Trash,41.1194589,24.8629149,"2/19/2026, 4:05:38 PM",KALLITH
ID_owp0jcdwf,Trash,41.1198809,24.862925,"2/19/2026, 4:05:49 PM",KALLITH
ID_2gjun39ty,Trash,41.118902,24.8625037,"2/19/2026, 4:06:26 PM",KALLITH
ID_vqovsyw91,Trash,41.1182258,24.8629818,"2/19/2026, 4:06:50 PM",KALLITH
ID_jwaradvh5,Underground,41.1182175,24.8636265,"2/19/2026, 4:07:07 PM",KALLITH
ID_cu4du4grv,Underground,41.1182175,24.8636265,"2/19/2026, 4:07:08 PM",KALLITH
ID_3gcg02zfx,Recycle,41.1182911,24.8637199,"2/19/2026, 4:07:16 PM",KALLITH
ID_wu2gm5cqj,Recycle,41.1182911,24.8637199,"2/19/2026, 4:07:17 PM",KALLITH
ID_x6j3n4s6o,Recycle,41.1182663,24.8657609,"2/19/2026, 4:07:51 PM",KALLITH
ID_2a9ae9yma,Recycle,41.1182663,24.8657609,"2/19/2026, 4:07:52 PM",KALLITH
ID_tn0girwmz,Trash,41.1190465,24.8655963,"2/19/2026, 4:08:27 PM",KALLITH
ID_745ewr6m9,Organic,41.1191173,24.8655571,"2/19/2026, 4:08:30 PM",KALLITH
ID_sf8zjiugw,Recycle,41.1190767,24.8648896,"2/19/2026, 4:09:04 PM",KALLITH
ID_p98ktzkz3,Underground,41.1190817,24.8647705,"2/19/2026, 4:09:07 PM",KALLITH
ID_pk4zjumak,Underground,41.1190817,24.8647705,"2/19/2026, 4:09:08 PM",KALLITH
ID_z33tfeft0,Recycle,41.1191176,24.8640499,"2/19/2026, 4:09:34 PM",KALLITH
ID_r68t11quv,Organic,41.1187371,24.8638636,"2/19/2026, 4:09:58 PM",KALLITH
ID_cn1gqccvb,Recycle,41.1187371,24.8638636,"2/19/2026, 4:09:59 PM",KALLITH
ID_x6yx9dcor,Trash,41.1186452,24.8638322,"2/19/2026, 4:10:02 PM",KALLITH
ID_gv5ya4lu4,Organic,41.1195808,24.8633373,"2/19/2026, 4:10:48 PM",KALLITH
ID_ovm8olw7p,Organic,41.1195808,24.8633373,"2/19/2026, 4:10:48 PM",KALLITH
ID_c9r5cinae,Trash,41.1195808,24.8633373,"2/19/2026, 4:10:49 PM",KALLITH
ID_zdz9k1o4w,Recycle,41.1195485,24.8645681,"2/19/2026, 4:11:38 PM",KALLITH
ID_sh85z29n9,Recycle,41.1195485,24.8645681,"2/19/2026, 4:11:38 PM",KALLITH
ID_fomdwd7ny,Trash,41.1198954,24.8649666,"2/19/2026, 4:12:02 PM",KALLITH
ID_h395slz1n,Recycle,41.1198954,24.8649666,"2/19/2026, 4:12:02 PM",KALLITH
ID_vc8r5oky9,Organic,41.1198954,24.8649666,"2/19/2026, 4:12:03 PM",KALLITH
ID_61gj9ojhd,Recycle,41.1202325,24.865391,"2/19/2026, 4:12:32 PM",KALLITH
ID_gyzry3g7w,Trash,41.1202325,24.865391,"2/19/2026, 4:12:33 PM",KALLITH
ID_6vrij9t2c,Trash,41.1202325,24.865391,"2/19/2026, 4:12:34 PM",KALLITH
ID_ytjcdojj7,Trash,41.1202325,24.865391,"2/19/2026, 4:12:34 PM",KALLITH
ID_jipwmrbg6,Trash,41.1204801,24.8667831,"2/19/2026, 4:13:22 PM",KALLITH
ID_zgbjb56wv,Trash,41.1204801,24.8667831,"2/19/2026, 4:13:23 PM",KALLITH
ID_oz67amuvs,Recycle,41.1204801,24.8667831,"2/19/2026, 4:13:23 PM",KALLITH
ID_sxnamxiau,Trash,41.1198178,24.8668772,"2/19/2026, 4:13:42 PM",KALLITH
ID_lf58wq36y,Recycle,41.1193781,24.8664642,"2/19/2026, 4:13:50 PM",KALLITH
ID_zg2hdka9a,Trash,41.1193781,24.8664642,"2/19/2026, 4:13:51 PM",KALLITH
ID_1jtwnz0o1,Recycle,41.120415,24.8635972,"2/19/2026, 4:14:42 PM",KALLITH
ID_c2jaq4tae,Trash,41.120415,24.8635972,"2/19/2026, 4:14:43 PM",KALLITH
ID_scmvsjiu3,Trash,41.120415,24.8635972,"2/19/2026, 4:14:44 PM",KALLITH
ID_m7p5wffl4,Trash,41.1278959,24.8635632,"2/19/2026, 4:20:06 PM",HOSPITAL
ID_dwyc5mn42,Recycle,41.1278959,24.8635632,"2/19/2026, 4:20:06 PM",HOSPITAL
ID_6alm3hvm6,Trash,41.1264947,24.8621384,"2/19/2026, 4:20:20 PM",HOSPITAL
ID_w5bvx3gcj,Trash,41.1264947,24.8621384,"2/19/2026, 4:20:20 PM",HOSPITAL
ID_ysbx0mlrh,Recycle,41.1249584,24.8604045,"2/19/2026, 4:20:48 PM",HOSPITAL
ID_hgp3bd8gf,Recycle,41.1249584,24.8604045,"2/19/2026, 4:20:48 PM",HOSPITAL
ID_4uupgxwec,Trash,41.1248943,24.860506,"2/19/2026, 4:20:52 PM",HOSPITAL
ID_kod4tj9zm,Trash,41.1248943,24.860506,"2/19/2026, 4:20:52 PM",HOSPITAL
ID_mw66un7tb,Trash,41.1258012,24.8679829,"2/19/2026, 4:24:26 PM",HOSPITAL
ID_qq56ihjft,Recycle,41.1224021,24.8694792,"2/19/2026, 4:25:46 PM",HOSPITAL
ID_7seua77ej,Trash,41.1210742,24.8673444,"2/19/2026, 4:27:11 PM",HOSPITAL
ID_img950cdo,Trash,41.1210742,24.8673444,"2/19/2026, 4:27:11 PM",HOSPITAL
ID_8r3flg43w,Recycle,41.1210742,24.8673444,"2/19/2026, 4:27:14 PM",HOSPITAL
ID_9z2vytv9o,Trash,41.1223817,24.865551,"2/19/2026, 4:31:50 PM",HOSPITAL
ID_3celabfz3,Trash,41.1223817,24.865551,"2/19/2026, 4:31:50 PM",HOSPITAL
ID_rj0ge05lb,Recycle,41.1224425,24.8654547,"2/19/2026, 4:31:52 PM",HOSPITAL
ID_3s145ioqa,Trash,41.1235426,24.8649086,"2/19/2026, 4:32:15 PM",HOSPITAL
ID_ppmkaf9ay,Trash,41.1235426,24.8649086,"2/19/2026, 4:32:16 PM",HOSPITAL
ID_k61eldxty,Trash,41.1235426,24.8649086,"2/19/2026, 4:32:16 PM",HOSPITAL
ID_xwydvwu3k,Trash,41.1262912,24.8673468,"2/19/2026, 4:34:41 PM",HOSPITAL
ID_0ba37q9yb,Trash,41.1262912,24.8673468,"2/19/2026, 4:34:41 PM",HOSPITAL
ID_tdvt6s8fp,Recycle,41.1262912,24.8673468,"2/19/2026, 4:34:41 PM",HOSPITAL
ID_eu9bo56u5,Trash,41.1258012,24.8679829,"2/19/2026, 4:34:54 PM",HOSPITAL
